7zip 26.02-1
ttf-cascadia-mono-nerd 3.5.0-1
ttf-cousine-nerd 3.5.0-1
ttf-d2coding-nerd 3.5.0-1
ttf-daddytime-mono-nerd 3.5.0-1
ttf-dejavu-nerd 3.5.0-1
ttf-envycoder-nerd 3.5.0-1
ttf-fantasque-nerd 3.5.0-1
ttf-firacode-nerd 3.5.0-1
ttf-go-nerd 3.5.0-1
ttf-gohu-nerd 3.5.0-1
ttf-hack-nerd 3.5.0-1
ttf-heavydata-nerd 3.5.0-1
ttf-iawriter-nerd 3.5.0-1
ttf-ibmplex-mono-nerd 3.5.0-1
ttf-inconsolata-go-nerd 3.5.0-1
ttf-inconsolata-lgc-nerd 3.5.0-1
ttf-inconsolata-nerd 3.5.0-1
ttf-intone-nerd 3.5.0-1
ttf-iosevka-nerd 3.5.0-1
ttf-iosevkaterm-nerd 3.5.0-1
ttf-iosevkatermslab-nerd 3.5.0-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-lekton-nerd 3.5.0-1
ttf-liberation-mono-nerd 3.5.0-1
ttf-lilex-nerd 3.5.0-1
ttf-martian-mono-nerd 3.5.0-1
ttf-meslo-nerd 3.5.0-1
ttf-monofur-nerd 3.5.0-1
ttf-monoid-nerd 3.5.0-1
ttf-mononoki-nerd 3.5.0-1
ttf-mplus-nerd 3.5.0-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.5.0-1
ttf-profont-nerd 3.5.0-1
ttf-proggyclean-nerd 3.5.0-1
ttf-recursive-nerd 3.5.0-1
ttf-roboto-mono-nerd 3.5.0-1
ttf-sharetech-mono-nerd 3.5.0-1
ttf-sourcecodepro-nerd 3.5.0-1
ttf-space-mono-nerd 3.5.0-1
ttf-terminus-nerd 3.5.0-1
ttf-tinos-nerd 3.5.0-1
ttf-ubuntu-mono-nerd 3.5.0-1
ttf-ubuntu-nerd 3.5.0-1
ttf-victor-mono-nerd 3.5.0-1
ttf-zed-mono-nerd 3.5.0-1
udftools 2.3-3
udiskie 2.7.0-2
udisks2-btrfs 2.11.2-1
ueberzug 18.3.2-1
ufw 0.36.2-7
unace 2.5-11
unarchiver 1.10.8-6
unarj 2.65-2
unixodbc 2.3.14-1
unrar 1:7.2.7-1
unzip 6.0-23
uv 0.12.3-1
viewnior 1.8-7
vim 9.2.0849-1
vlc 3.0.23_2-10
vtk 9.6.2-5
w3m 0.5.6-1
wget 1.25.0-6
which 2.25-1
whois 5.6.6-1
wl-clipboard 1:2.3.0-1
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
xarchiver 0.5.4.27-1
xclip 0.13-6
xdg-user-dirs 0.20-1
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-synaptics 1.10.0-1
xf86-input-vmmouse 13.2.0-2
xf86-input-void 1.4.2-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-dummy 0.4.1-3
xf86-video-fbdev 0.5.1-1
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xf86-video-qxl 0.1.6-2
xf86-video-vesa 2.6.0-3
xf86-video-voodoo 1.2.6-3
xfburn 0.8.0-1
xfce4-battery-plugin 1.2.0-1
xfce4-clipman-plugin 1.7.0-1
xfce4-cpufreq-plugin 1.3.0-1
xfce4-cpugraph-plugin 1.3.0-1
xfce4-dict 0.8.9-1
xfce4-diskperf-plugin 2.8.0-2
xfce4-eyes-plugin 4.7.0-1
xfce4-fsguard-plugin 1.2.0-1
xfce4-genmon-plugin 4.3.0-1
xfce4-mailwatch-plugin 1.4.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-mpc-plugin 0.6.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notes-plugin 1.12.0-1
xfce4-notifyd 0.9.7-2
